Date,Dollar
2014-02-11,80.64
2014-02-12,80.68
2014-02-13,80.32
2014-02-14,80.15
2014-02-17,80.14
2014-02-18,80.01
2014-02-19,80.14
2014-02-20,80.29
2014-02-21,80.24
2014-02-24,80.2
2014-02-25,80.14
2014-02-26,80.43
2014-02-27,80.28
2014-02-28,79.69
2014-03-03,80.08
2014-03-04,80.17
2014-03-05,80.11
2014-03-06,79.66
2014-03-07,79.72
2014-03-10,79.77
2014-03-11,79.74
2014-03-12,79.61
2014-03-13,79.62
2014-03-14,79.45
2014-03-17,79.39
2014-03-18,79.41
2014-03-19,80.0
2014-03-20,80.19
2014-03-21,80.11
2014-03-24,79.93
2014-03-25,79.94
2014-03-26,80.03
2014-03-27,80.11
2014-03-28,80.18
2014-03-31,80.1
2014-04-01,80.09
2014-04-02,80.22
2014-04-03,80.47
2014-04-04,80.42
2014-04-07,80.23
2014-04-08,79.75
2014-04-09,79.48
2014-04-10,79.38
2014-04-11,79.45
2014-04-14,79.73
2014-04-15,79.8
2014-04-16,79.8
2014-04-17,79.83
2014-04-18,79.83
2014-04-21,79.94
2014-04-22,79.91
2014-04-23,79.86
2014-04-24,79.8
2014-04-25,79.75
2014-04-28,79.68
2014-04-29,79.81
2014-04-30,79.47
2014-05-01,79.53
2014-05-02,79.52
2014-05-05,79.49
2014-05-06,79.09
2014-05-07,79.2
2014-05-08,79.36
2014-05-09,79.9
2014-05-12,79.9
2014-05-13,80.14
2014-05-14,80.07
2014-05-15,80.0
2014-05-16,80.04
2014-05-19,79.99
2014-05-20,80.04
2014-05-21,80.09
2014-05-22,80.25
2014-05-23,80.39
2014-05-26,80.39
2014-05-27,80.35
2014-05-28,80.57
2014-05-29,80.49
2014-05-30,80.37
2014-06-02,80.64
2014-06-03,80.55
2014-06-04,80.66
2014-06-05,80.37
2014-06-06,80.41
2014-06-09,80.65
2014-06-10,80.82
2014-06-11,80.77
2014-06-12,80.58
2014-06-13,80.58
2014-06-16,80.47
2014-06-17,80.63
2014-06-18,80.58
2014-06-19,80.32
2014-06-20,80.37
2014-06-23,80.27
2014-06-24,80.33
2014-06-25,80.22
2014-06-26,80.22
2014-06-27,80.02
2014-06-30,79.78
2014-07-01,79.81
2014-07-02,79.96
2014-07-03,80.21
2014-07-04,80.27
2014-07-07,80.22
2014-07-08,80.18
2014-07-09,79.99
2014-07-10,80.13
2014-07-11,80.19
2014-07-14,80.19
2014-07-15,80.39
2014-07-16,80.56
2014-07-17,80.5
2014-07-18,80.52
2014-07-21,80.56
2014-07-22,80.78
2014-07-23,80.82
2014-07-24,80.87
2014-07-25,81.03
2014-07-28,81.03
2014-07-29,81.21
2014-07-30,81.43
2014-07-31,81.46
2014-08-01,81.3
2014-08-04,81.33
2014-08-05,81.33
2014-08-06,81.44
2014-08-07,81.52
2014-08-08,81.45
2014-08-11,81.47
2014-08-12,81.5
2014-08-13,81.6
2014-08-14,81.59
2014-08-15,81.42
2014-08-18,81.58
2014-08-19,81.88
2014-08-20,82.23
2014-08-21,82.15
2014-08-22,82.34
2014-08-25,82.55
2014-08-26,82.65
2014-08-27,82.43
2014-08-28,82.48
2014-08-29,82.75
2014-09-01,82.75
2014-09-02,82.99
2014-09-03,82.86
2014-09-04,83.82
2014-09-05,83.74
2014-09-08,84.23
2014-09-09,84.28
2014-09-10,84.28
2014-09-11,84.3
2014-09-12,84.24
2014-09-15,84.26
2014-09-16,84.07
2014-09-17,84.34
2014-09-18,84.32
2014-09-19,84.73
2014-09-22,84.75
2014-09-23,84.66
2014-09-24,85.04
2014-09-25,85.19
2014-09-26,85.64
2014-09-29,85.59
2014-09-30,85.94
2014-10-01,85.97
2014-10-02,85.6
2014-10-03,86.69
2014-10-06,85.93
2014-10-07,85.67
2014-10-08,85.3
2014-10-09,85.52
2014-10-10,85.91
2014-10-13,85.53
2014-10-14,85.82
2014-10-15,85.15
2014-10-16,84.95
2014-10-17,85.11
2014-10-20,84.95
2014-10-21,85.3
2014-10-22,85.74
2014-10-23,85.84
2014-10-24,85.73
2014-10-27,85.5
2014-10-28,85.41
2014-10-29,85.95
2014-10-30,86.15
2014-10-31,86.92
2014-11-03,87.31
2014-11-04,86.98
2014-11-05,87.44
2014-11-06,88.01
2014-11-07,87.64
2014-11-10,87.81
2014-11-11,87.53
2014-11-12,87.82
2014-11-13,87.67
2014-11-14,87.53
2014-11-17,87.93
2014-11-18,87.58
2014-11-19,87.65
2014-11-20,87.59
2014-11-21,88.31
2014-11-24,88.15
2014-11-25,87.92
2014-11-26,87.61
2014-11-27,87.61
2014-11-28,88.36
2014-12-01,87.95
2014-12-02,88.65
2014-12-03,88.96
2014-12-04,88.7
2014-12-05,89.33
2014-12-08,89.04
2014-12-09,88.69
2014-12-10,88.27
2014-12-11,88.66
2014-12-12,88.36
2014-12-15,88.46
2014-12-16,88.12
2014-12-17,89.13
2014-12-18,89.23
2014-12-19,89.6
2014-12-22,89.77
2014-12-23,90.06
2014-12-24,89.97
2014-12-25,89.97
2014-12-26,90.03
2014-12-29,90.19
2014-12-30,89.99
2014-12-31,90.27
2015-01-01,90.27
2015-01-02,91.08
2015-01-05,91.38
2015-01-06,91.5
2015-01-07,91.89
2015-01-08,92.37
2015-01-09,91.94
2015-01-12,91.98
2015-01-13,92.31
2015-01-14,92.16
2015-01-15,92.35
2015-01-16,92.52
2015-01-19,92.52
2015-01-20,93.05
2015-01-21,92.9
2015-01-22,94.08
2015-01-23,94.76
2015-01-26,94.8
2015-01-27,94.02
2015-01-28,94.47
2015-01-29,94.78
2015-01-30,94.8
2015-02-02,94.5
2015-02-03,93.6
2015-02-04,93.99
2015-02-05,93.57
2015-02-06,95.85
2015-02-09,94.45
2015-02-10,94.76
2015-02-11,94.98
2015-02-12,94.09
2015-02-13,94.2
2015-02-16,94.2
2015-02-17,94.06
2015-02-18,94.2
2015-02-19,94.4
2015-02-20,94.34
2015-02-23,94.57
2015-02-24,94.49
2015-02-25,94.21
2015-02-26,95.29
2015-02-27,95.32
2015-03-02,95.46
2015-03-03,95.38
2015-03-04,95.97
2015-03-05,96.38
2015-03-06,97.61
2015-03-09,97.59
2015-03-10,98.62
2015-03-11,99.8
2015-03-12,99.44
2015-03-13,100.33
2015-03-16,99.6
2015-03-17,99.58
2015-03-18,98.55
2015-03-19,99.26
2015-03-20,97.91
2015-03-23,97.03
2015-03-24,97.19
2015-03-25,96.98
2015-03-26,97.44
2015-03-27,97.29
2015-03-30,97.97
2015-03-31,98.36
2015-04-01,98.19
2015-04-02,97.44
2015-04-03,96.55
2015-04-06,96.78
2015-04-07,97.83
2015-04-08,97.94
2015-04-09,99.16
2015-04-10,99.34
2015-04-13,99.49
2015-04-14,98.73
2015-04-15,98.32
2015-04-16,97.42
2015-04-17,97.52
2015-04-20,97.94
2015-04-21,98.0
2015-04-22,97.93
2015-04-23,97.28
2015-04-24,96.92
2015-04-27,96.77
2015-04-28,96.09
2015-04-29,95.21
2015-04-30,94.6
2015-05-01,95.3
2015-05-04,95.48
2015-05-05,95.08
2015-05-06,94.09
2015-05-07,94.64
2015-05-08,94.79
2015-05-11,95.01
2015-05-12,94.53
2015-05-13,93.62
2015-05-14,93.46
2015-05-15,93.14
2015-05-18,94.22
2015-05-19,95.27
2015-05-20,95.45
2015-05-21,95.25
2015-05-22,96.11
2015-05-25,96.01
2015-05-26,97.3
2015-05-27,97.37
2015-05-28,96.97
2015-05-29,96.91
2015-06-01,97.39
2015-06-02,95.83
2015-06-03,95.47
2015-06-04,95.46
2015-06-05,96.31
2015-06-08,95.3
2015-06-09,95.17
2015-06-10,94.65
2015-06-11,94.98
2015-06-12,94.97
2015-06-15,94.81
2015-06-16,95.0
2015-06-17,94.3
2015-06-18,94.04
2015-06-19,94.08
2015-06-22,94.33
2015-06-23,95.43
2015-06-24,95.26
2015-06-25,95.19
2015-06-26,95.47
2015-06-29,94.79
2015-06-30,95.48
