Date,Open,High,Low,Close
2018-10-31,499.75,501.75,490.0,500.5
2018-11-01,500.5,510.0,500.5,508.0
2018-11-02,507.0,509.75,502.75,508.75
2018-11-05,511.25,512.25,503.75,507.25
2018-11-06,507.25,514.0,505.5,512.0
2018-11-07,512.5,514.25,507.25,510.25
2018-11-08,509.5,517.0,503.25,507.75
2018-11-09,507.5,508.0,500.75,502.0
2018-11-12,502.5,520.75,501.25,519.75
2018-11-13,518.25,520.75,506.0,507.75
2018-11-14,507.75,511.0,501.0,503.0
2018-11-15,503.0,509.0,503.0,505.5
2018-11-16,505.25,508.75,502.75,506.75
2018-11-19,506.5,507.25,496.0,498.5
2018-11-20,497.5,502.5,495.5,500.75
2018-11-21,500.5,504.25,497.75,498.75
2018-11-22,498.0,498.0,498.0,498.0
2018-11-23,500.75,507.5,499.0,499.75
2018-11-26,503.0,508.0,501.75,507.5
2018-11-27,506.75,510.0,497.5,498.0
2018-11-28,497.25,501.0,494.75,497.5
2018-11-29,497.75,501.5,492.0,496.5
2018-11-30,497.25,517.75,497.25,515.75
2018-12-03,524.25,525.25,514.0,515.75
2018-12-04,514.75,520.75,514.75,519.25
2018-12-05,515.0,515.5,513.25,514.5
2018-12-06,510.0,510.0,499.5,505.25
2018-12-07,505.25,519.0,505.25,519.5
2018-12-10,522.75,522.75,521.5,514.75
2018-12-11,511.0,511.0,511.0,509.75
2018-12-12,520.75,520.75,517.75,515.25
2018-12-13,526.25,526.25,526.25,527.75
2018-12-14,536.38,537.62,527.75,527.75
2018-12-17,531.0,537.5,530.0,535.25
2018-12-18,534.0,536.0,530.0,532.75
2018-12-19,532.75,533.0,521.5,522.5
2018-12-20,524.0,527.75,521.25,523.5
2018-12-21,522.0,524.0,512.25,514.0
2018-12-24,512.0,518.0,511.0,516.5
2018-12-26,516.0,520.75,509.0,510.0
2018-12-27,511.5,513.0,507.25,510.5
2018-12-28,511.75,514.0,509.5,511.5
2018-12-31,512.75,513.5,503.0,503.25
2019-01-02,502.5,510.75,501.25,506.75
2019-01-03,506.75,516.0,506.0,513.75
2019-01-04,513.75,518.75,513.0,517.0
2019-01-07,518.0,518.5,513.5,516.75
2019-01-08,516.5,524.5,513.75,517.75
2019-01-09,519.75,523.75,518.25,520.0
2019-01-10,519.5,520.25,512.0,513.75
2019-01-11,513.75,523.75,512.75,519.5
2019-01-14,520.0,523.5,513.25,514.25
2019-01-15,514.75,518.25,508.0,511.0
2019-01-16,511.0,516.75,511.0,512.5
2019-01-17,511.5,522.5,509.0,517.75
2019-01-18,519.75,522.75,515.25,517.75
2019-01-20,517.5,517.5,517.0,517.0
2019-01-21,517.5,520.5,515.25,517.0
2019-01-22,518.0,526.0,514.25,521.25
2019-01-23,522.5,527.0,521.75,526.0
2019-01-24,527.0,529.0,521.0,521.5
2019-01-25,520.5,523.0,516.75,520.0
2019-01-28,520.75,523.5,516.0,518.75
2019-01-29,517.75,522.0,510.75,513.25
2019-01-30,513.25,518.0,511.75,516.75
2019-01-31,517.75,520.0,513.5,516.5
2019-02-01,515.75,526.5,515.25,524.25
2019-02-04,524.75,529.0,521.25,525.75
2019-02-05,525.25,528.25,520.5,527.25
2019-02-06,527.0,531.25,524.25,526.0
2019-02-07,525.25,525.25,512.5,513.25
2019-02-08,514.75,522.25,513.5,517.25
2019-02-11,517.25,519.0,512.0,518.25
2019-02-12,518.5,520.75,514.5,520.0
2019-02-13,519.75,524.0,518.75,522.25
2019-02-14,521.5,522.5,506.0,507.0
2019-02-15,507.75,508.75,499.25,504.25
2019-02-17,503.5,503.5,502.88,503.25
2019-02-18,503.25,503.75,503.0,503.75
2019-02-19,502.5,505.25,488.5,489.75
2019-02-20,490.0,493.5,475.75,480.75
2019-02-21,480.5,491.5,480.25,486.5
2019-02-22,488.5,493.0,484.5,486.75
2019-02-25,489.75,490.0,466.25,466.75
2019-02-26,467.0,468.0,456.25,460.25
2019-02-27,460.25,467.75,458.25,461.0
2019-02-28,460.25,461.0,452.25,452.5
2019-03-01,452.5,457.75,440.5,454.0
2019-03-04,454.75,454.75,446.0,446.75
2019-03-05,446.0,454.25,445.75,454.25
2019-03-06,449.25,450.5,443.5,440.5
2019-03-07,435.25,437.25,435.25,431.5
2019-03-08,435.5,437.0,435.5,432.75
2019-03-11,430.25,430.25,427.75,422.25
2019-03-12,424.0,443.0,424.0,446.25
2019-03-13,439.75,441.5,438.5,440.25
2019-03-14,447.88,460.62,446.88,452.25
2019-03-15,452.5,463.0,448.5,462.25
2019-03-18,463.25,464.0,454.5,456.75
2019-03-19,458.5,462.5,453.75,456.5
2019-03-20,456.75,465.0,454.75,464.75
2019-03-21,464.5,467.5,458.0,466.5
2019-03-22,465.5,473.75,463.75,466.0
2019-03-25,466.5,471.75,463.0,469.5
2019-03-26,470.0,478.0,467.0,469.25
2019-03-27,470.0,471.75,466.5,469.5
2019-03-28,468.5,469.25,459.5,464.5
2019-03-29,463.75,464.75,452.5,457.75
2019-04-01,459.5,468.25,456.0,462.75
