,Date,Open,High,Low,Close,Volume,Currency,month,year,month_name
755,2014-10-07,491.5,509.5,489.25,506.25,71942,USD,10,2014,October
756,2014-10-08,507.25,511.75,502.0,507.75,46634,USD,10,2014,October
757,2014-10-09,508.0,508.25,492.0,493.25,56948,USD,10,2014,October
758,2014-10-10,493.5,508.5,488.25,498.5,67978,USD,10,2014,October
759,2014-10-13,498.5,506.5,495.5,505.25,39341,USD,10,2014,October
760,2014-10-14,505.25,510.0,498.25,509.25,34253,USD,10,2014,October
761,2014-10-15,510.0,516.25,501.5,506.0,55380,USD,10,2014,October
762,2014-10-16,506.25,518.25,502.75,517.0,44556,USD,10,2014,October
763,2014-10-17,517.75,522.25,512.75,516.0,48282,USD,10,2014,October
764,2014-10-20,515.0,515.75,507.25,513.5,41062,USD,10,2014,October
765,2014-10-21,515.0,523.75,512.25,519.25,55907,USD,10,2014,October
766,2014-10-22,521.0,528.75,516.0,522.25,51409,USD,10,2014,October
767,2014-10-23,520.25,530.75,519.25,526.75,41545,USD,10,2014,October
768,2014-10-24,525.5,539.25,517.25,517.75,57243,USD,10,2014,October
769,2014-10-27,516.0,526.5,510.5,522.75,50296,USD,10,2014,October
770,2014-10-28,525.5,533.0,523.25,530.75,45034,USD,10,2014,October
771,2014-10-29,531.0,540.5,527.5,538.25,45827,USD,10,2014,October
772,2014-10-30,538.25,545.5,532.5,536.0,53290,USD,10,2014,October
773,2014-10-31,536.0,539.0,523.0,532.5,60413,USD,10,2014,October
774,2014-11-03,536.25,539.25,526.75,538.25,48408,USD,11,2014,November
775,2014-11-04,538.25,538.75,529.0,530.5,40640,USD,11,2014,November
776,2014-11-05,532.0,532.5,518.75,524.75,61576,USD,11,2014,November
777,2014-11-06,525.0,528.0,520.0,520.25,45901,USD,11,2014,November
778,2014-11-07,520.5,520.5,511.0,514.5,64780,USD,11,2014,November
779,2014-11-10,514.0,524.5,511.25,517.25,87728,USD,11,2014,November
780,2014-11-11,518.0,526.5,511.75,525.25,95070,USD,11,2014,November
781,2014-11-12,524.25,545.75,522.75,542.75,138060,USD,11,2014,November
782,2014-11-13,542.0,559.0,537.0,553.75,111919,USD,11,2014,November
783,2014-11-14,553.75,564.75,549.0,560.5,63504,USD,11,2014,November
784,2014-11-17,559.25,563.25,551.0,551.75,40374,USD,11,2014,November
785,2014-11-18,552.0,553.0,544.25,549.0,28212,USD,11,2014,November
786,2014-11-19,549.0,549.5,535.0,537.75,38493,USD,11,2014,November
787,2014-11-20,538.5,548.0,532.0,547.25,37194,USD,11,2014,November
788,2014-11-21,547.0,553.75,540.75,547.25,35936,USD,11,2014,November
789,2014-11-24,546.0,551.25,541.25,542.25,26197,USD,11,2014,November
790,2014-11-25,541.75,553.0,539.25,551.5,18564,USD,11,2014,November
791,2014-11-26,551.25,563.0,550.75,562.0,23401,USD,11,2014,November
792,2014-11-27,562.25,562.25,562.25,562.25,0,USD,11,2014,November
793,2014-11-28,558.0,579.25,556.5,577.25,3794,USD,11,2014,November
794,2014-12-01,577.5,607.0,571.75,606.75,1927,USD,12,2014,December
795,2014-12-02,604.5,612.0,600.0,605.25,1101,USD,12,2014,December
796,2014-12-03,604.0,604.0,589.5,597.0,813,USD,12,2014,December
797,2014-12-04,594.0,600.0,588.5,599.75,496,USD,12,2014,December
798,2014-12-05,599.0,609.75,594.75,609.0,542,USD,12,2014,December
799,2014-12-08,603.5,617.0,600.0,610.0,115,USD,12,2014,December
800,2014-12-09,606.5,608.75,599.0,600.5,193,USD,12,2014,December
801,2014-12-10,600.0,600.0,590.0,593.25,86,USD,12,2014,December
802,2014-12-11,597.0,607.75,588.5,610.25,88,USD,12,2014,December
803,2014-12-12,623.25,627.5,623.25,627.5,37,USD,12,2014,December
804,2014-12-15,605.5,622.75,599.75,619.0,65785,USD,12,2014,December
805,2014-12-16,616.0,639.0,615.0,623.25,93302,USD,12,2014,December
806,2014-12-17,623.75,650.75,617.0,648.5,103230,USD,12,2014,December
807,2014-12-18,646.5,677.0,645.75,655.25,102121,USD,12,2014,December
808,2014-12-19,654.0,654.5,629.25,632.25,68685,USD,12,2014,December
809,2014-12-22,629.5,644.5,621.0,625.75,53792,USD,12,2014,December
810,2014-12-23,625.0,637.0,621.0,635.5,31415,USD,12,2014,December
811,2014-12-24,636.5,639.75,606.25,611.5,38221,USD,12,2014,December
812,2014-12-26,614.5,616.75,607.5,610.75,21009,USD,12,2014,December
813,2014-12-29,611.75,620.75,608.0,615.5,29593,USD,12,2014,December
814,2014-12-30,615.0,615.5,601.0,602.0,34044,USD,12,2014,December
815,2014-12-31,601.5,604.5,586.5,589.75,37572,USD,12,2014,December
816,2015-01-02,589.75,591.0,574.75,581.25,38997,USD,1,2015,January
817,2015-01-05,579.75,597.5,579.0,589.0,45078,USD,1,2015,January
818,2015-01-06,588.0,603.5,586.0,591.75,52463,USD,1,2015,January
819,2015-01-07,594.25,594.5,578.5,579.5,46079,USD,1,2015,January
820,2015-01-08,580.0,581.0,565.75,567.0,49560,USD,1,2015,January
821,2015-01-09,568.0,574.0,561.75,563.75,54780,USD,1,2015,January
822,2015-01-12,563.0,567.0,554.0,555.5,74233,USD,1,2015,January
823,2015-01-13,555.5,566.75,547.25,548.0,61834,USD,1,2015,January
824,2015-01-14,548.0,549.75,536.0,537.75,66809,USD,1,2015,January
825,2015-01-15,540.5,545.0,528.0,532.75,59519,USD,1,2015,January
826,2015-01-16,536.75,542.0,531.25,532.75,54200,USD,1,2015,January
827,2015-01-20,532.25,539.75,523.0,537.0,62926,USD,1,2015,January
828,2015-01-21,537.25,544.5,535.5,536.75,50807,USD,1,2015,January
829,2015-01-22,536.5,542.5,532.5,533.75,44525,USD,1,2015,January
830,2015-01-23,532.75,536.0,526.25,530.0,57432,USD,1,2015,January
831,2015-01-26,530.75,534.75,519.25,520.5,52607,USD,1,2015,January
832,2015-01-27,519.5,524.25,517.5,519.0,40915,USD,1,2015,January
833,2015-01-28,519.0,520.5,503.0,505.25,78409,USD,1,2015,January
834,2015-01-29,506.0,512.25,500.75,507.75,76823,USD,1,2015,January
835,2015-01-30,508.0,511.75,497.0,502.75,67223,USD,1,2015,January
836,2015-02-02,503.0,505.5,492.25,492.75,58166,USD,2,2015,February
837,2015-02-03,493.5,515.75,493.0,513.75,71013,USD,2,2015,February
838,2015-02-04,514.5,521.75,507.5,511.0,64767,USD,2,2015,February
839,2015-02-05,511.25,527.75,508.5,525.75,84138,USD,2,2015,February
840,2015-02-06,526.5,534.0,516.5,527.0,85342,USD,2,2015,February
841,2015-02-09,527.0,532.25,521.5,529.75,77084,USD,2,2015,February
842,2015-02-10,527.0,530.75,518.5,521.75,86985,USD,2,2015,February
843,2015-02-11,520.75,528.0,515.75,525.75,96606,USD,2,2015,February
844,2015-02-12,523.25,527.75,518.25,521.25,92568,USD,2,2015,February
845,2015-02-13,520.75,534.25,519.5,533.0,85848,USD,2,2015,February
846,2015-02-17,534.5,548.0,531.75,534.75,62801,USD,2,2015,February
847,2015-02-18,537.0,543.5,523.5,527.75,63119,USD,2,2015,February
848,2015-02-19,528.0,537.25,523.75,527.75,45850,USD,2,2015,February
849,2015-02-20,526.5,531.5,509.5,510.25,59446,USD,2,2015,February
850,2015-02-23,510.75,515.0,503.5,505.75,32153,USD,2,2015,February
851,2015-02-24,505.75,513.25,504.5,505.75,18575,USD,2,2015,February
852,2015-02-25,506.5,506.5,496.0,497.75,12524,USD,2,2015,February
853,2015-02-26,498.0,504.5,491.25,503.25,13499,USD,2,2015,February
